Gene A	Gene B	Uniprot A	Uniprot B	Symbol A	Symbol B	p(Wrong)	p(No Interaction)	p(Interaction)
10739	1859	O75678-2	Q13627-2	RFPL2	DYRK1A	2.10341321373249e-6	0.0394367127141355	0.960561183872651
10739	55871	O75678-2	Q9BRT8	RFPL2	CBWD1	1.08274916211424e-7	0.142943838721362	0.857056053003722
10739	1762	O75678-2	Q09019	RFPL2	DMWD	9.18903580867205e-13	0.0873505998666375	0.912649400132444
10739	5925	O75678-2	P06400	RFPL2	RB1	2.25706132190372e-6	0.0623930404860178	0.93760470245266
10739	4193	O75678-2	Q00987-11	RFPL2	MDM2	0.0000477387513900988	0.130912407101821	0.869039854146789
10739	84942	O75678-2	Q6P4I2	RFPL2	WDR73	2.80371520541183e-10	0.0882155266042548	0.911784473115374
9781	10970	P50876	Q07065	RNF144A	CKAP4	1.77394075372761e-9	0.238417504824247	0.761582493401812
6118	6119	P15927-2	P35244	RPA2	RPA3	6.94595709490892e-13	0.0018782142127014	0.998121785786604
6118	6117	P15927-2	P27694	RPA2	RPA1	1.15436876435196e-8	0.00112288775775958	0.998877100698553
6118	7508	P15927-2	Q01831	RPA2	XPC	2.95194472556775e-12	0.0000936436840149503	0.999906356313033
6118	11198	P15927-2	Q9Y5B9	RPA2	SUPT16H	2.74103248075105e-13	0.00108929897554494	0.998910701024181
6118	3980	P15927-2	P49916	RPA2	LIG3	7.11637973858232e-10	0.0138775005338807	0.986122498754481
6118	10038	P15927-2	Q9UGN5-2	RPA2	PARP2	1.36757794277152e-11	0.000247344554179462	0.999752655432145
6118	142	P15927-2	P09874	RPA2	PARP1	4.17533926408021e-12	0.0790851182894792	0.920914881706345
6118	6596	P15927-2	Q14527-2	RPA2	HLTF	3.84342769568915e-10	0.127358340889887	0.87264165872577
6118	6749	P15927-2	Q08945	RPA2	SSRP1	8.74873159769981e-14	0.0103876110811849	0.989612388918728
6118	1069	P15927-2	P41208	RPA2	CETN2	3.30944908557916e-8	0.0543609726117786	0.945638994293731
6118	56941	P15927-2	Q96FZ2	RPA2	C3orf37	9.4276432375785e-19	0.0038183882219897	0.99618161177801
6118	317772	P15927-2	Q8IUE6	RPA2	HIST2H2AB	0.000561832083558094	0.233749535302347	0.765688632614095
728194	810	B2RC85-2	P27482	RSPH10B2	CALML3	0.0000672986481728296	0.0707914147923857	0.929141286559442
728194	8925	B2RC85-2	Q15751	RSPH10B2	HERC1	6.09530685462484e-11	0.0486779148840477	0.951322085054999
29916	83931	Q9Y5W9	Q8N2I9	SNX11	STK40	7.29705089594919e-9	0.014500972708501	0.985499019994448
29916	27031	Q9Y5W9	Q7Z494	SNX11	NPHP3	6.96950387358359e-11	2.47272374461725e-9	0.999999997457581
29916	5371	Q9Y5W9	P29590-2	SNX11	PML	1.11770789193918e-11	0.000225113974424781	0.999774886014398
29916	8546	Q9Y5W9	O00203	SNX11	AP3B1	2.16668740200181e-8	0.15795528911074	0.842044689222386
29916	657	Q9Y5W9	P36894	SNX11	BMPR1A	3.11537070860188e-8	0.031085367892246	0.968914600954047
29916	2261	Q9Y5W9	P22607-2	SNX11	FGFR3	0.0000208465694539044	0.000068436444270237	0.999910716986276
29916	1111	Q9Y5W9	O14757	SNX11	CHEK1	2.9039388517384e-9	0.0817363546257971	0.918263642470264
29916	124220	Q9Y5W9	Q96DA0	SNX11	ZG16B	0.00437926477250884	0.106954316307888	0.888666418919604
29916	65263	Q9Y5W9	Q53H96	SNX11	PYCRL	3.88324711301084e-13	0.11107412190924	0.888925878090371
29916	79269	Q9Y5W9	Q5QP82-2	SNX11	DCAF10	4.29003077041684e-11	0.00666820860723007	0.993331791349869
29916	23595	Q9Y5W9	Q9UBD5-2	SNX11	ORC3	0.0000244847515191946	0.0000156474255497772	0.999959867822931
29916	90353	Q9Y5W9	Q7Z7A3	SNX11	CTU1	3.08094356699174e-7	0.19230657010656	0.807693121799083
29916	29919	Q9Y5W9	Q96DM3	SNX11	C18orf8	0.0182512871128657	0.000208558066315354	0.981540154820819
29916	5335	Q9Y5W9	P19174-2	SNX11	PLCG1	0.000044026109491729	0.022271653726048	0.97768432016446
9306	6921	O14544	Q15369	SOCS6	TCEB1	4.53784727494341e-10	0.113793705366393	0.886206294179822
9306	5339	O14544	Q15149-2	SOCS6	PLEC	6.80456160833996e-11	0.148636981973729	0.851363017958225
9306	55755	O14544	Q96SN8-2	SOCS6	CDK5RAP2	1.37610717424672e-8	0.121396037584229	0.8786039486547
9306	8065	O14544	Q93034	SOCS6	CUL5	2.19288712098935e-14	0.0616870045235426	0.938312995476435
9306	80204	O14544	Q86XK2-5	SOCS6	FBXO11	6.16729283675754e-12	0.00117200553301956	0.998827994460813
9306	8503	O14544	Q92569	SOCS6	PIK3R3	2.19086596039065e-16	0.0294951254988008	0.970504874501199
9306	5422	O14544	P09884	SOCS6	POLA1	5.55808783078077e-14	0.108201950765182	0.891798049234762
9306	31	O14544	Q13085-2	SOCS6	ACACA	2.53861182349359e-9	0.0786820585454356	0.921317938915952
9306	10425	O14544	O95376	SOCS6	ARIH2	0.000146186938958182	0.0000365347990497615	0.999817278261992
9306	7398	O14544	O94782	SOCS6	USP1	1.88205170533029e-11	0.205239896211434	0.794760103769745
9306	60485	O14544	Q9H4B6	SOCS6	SAV1	5.95497757933817e-10	0.000983911896664604	0.999016087507838
9306	9778	O14544	Q92628	SOCS6	KIAA0232	0.00462384752270995	0.00913469926894713	0.986241453208343
9306	286077	O14544	Q6ZRV2	SOCS6	FAM83H	3.31755918086204e-9	0.235222923452186	0.764777073230254
9306	8567	O14544	Q8WXG6-2	SOCS6	MADD	2.68158423319474e-6	0.240663660858094	0.759333657557673
10927	139886	Q9Y657	Q56A73	SPIN1	SPIN4	0.0619372360788544	1.97182240220937e-6	0.938060792098743
10927	11198	Q9Y657	Q9Y5B9	SPIN1	SUPT16H	1.92539933698512e-12	0.168098460458855	0.83190153953922
10927	9774	Q9Y657	Q9NYF8-2	SPIN1	BCLAF1	1.09477894058465e-12	0.193042273530217	0.806957726468688
10927	9967	Q9Y657	Q9Y2W1	SPIN1	THRAP3	1.7925276244823e-13	0.117596559525737	0.882403440474084
10927	8545	Q9Y657	Q9UFW8	SPIN1	CGGBP1	4.5733472932966e-11	1.93276249223835e-7	0.999999806678017
10927	6749	Q9Y657	Q08945	SPIN1	SSRP1	5.32918592157906e-15	0.132893723365673	0.867106276634321
10927	79693	Q9Y657	Q86U90	SPIN1	YRDC	1.57234964686701e-7	9.58764006822545e-6	0.999990255124967
10927	144097	Q9Y657	Q9BUA3	SPIN1	C11orf84	1.3248239973122e-22	4.072352271368e-12	0.99999999999593
10927	4171	Q9Y657	P49736	SPIN1	MCM2	1.38923238957261e-11	0.0658557901440325	0.934144209842075
10927	84619	Q9Y657	Q8N5A5-2	SPIN1	ZGPAT	0.0000122579844697788	6.95287782058505e-6	0.99998078913771
10927	10946	Q9Y657	Q12874	SPIN1	SF3A3	1.22815239506983e-11	0.146370001332561	0.853629998655157
10927	79005	Q9Y657	Q9BWG6	SPIN1	SCNM1	1.61993553320734e-10	0.00110947454100707	0.998890525296999
10927	10210	Q9Y657	Q9NS56-2	SPIN1	TOPORS	2.12153920085522e-8	6.52896633301455e-6	0.999993449818275
10927	5077	Q9Y657	P23760	SPIN1	PAX3	0.0251470555575851	2.55491550225631e-6	0.974850389526913
84077	57448	Q8ND61-2	Q9NR09	C3orf20	BIRC6	5.89489548241417e-11	0.0122425402341416	0.98775745970691
58477	6734	Q9Y5M8	P08240	SRPRB	SRPR	5.70100398416696e-10	0.000184064018854229	0.999815935411045
58477	79877	Q9Y5M8	Q8WVC6	SRPRB	DCAKD	5.34631134108456e-8	0.148614350873119	0.851385595663768
58477	3162	Q9Y5M8	P09601	SRPRB	HMOX1	1.1410361167908e-23	0.0028207289771329	0.99717927102287
58477	7444	Q9Y5M8	Q86Y07-3	SRPRB	VRK2	2.51317314558789e-11	0.225692416683643	0.774307583291225
58477	221079	Q9Y5M8	Q96KC2	SRPRB	ARL5B	4.27721613958344e-13	0.0144123468812793	0.985587653118293
58477	479	Q9Y5M8	P54707-2	SRPRB	ATP12A	2.89463432178275e-11	0.0508105138865246	0.949189486084529
58477	491	Q9Y5M8	Q01814-5	SRPRB	ATP2B2	7.53548566781962e-8	0.0278050275101302	0.972194897135013
58477	662	Q9Y5M8	Q12981-1	SRPRB	BNIP1	9.56143086082039e-9	0.044394333063576	0.955605657374993
58477	51075	Q9Y5M8	Q9Y320-2	SRPRB	TMX2	3.28178487105607e-7	0.0017207658512646	0.998278905970248
58477	4253	Q9Y5M8	O15320-2	SRPRB	CTAGE5	2.84451113993178e-8	1.5382430172146e-7	0.999999817730587
58477	7265	Q9Y5M8	Q99614	SRPRB	TTC1	4.07184306561114e-12	0.0321425263972549	0.967857473598673
58477	489	Q9Y5M8	Q93084-2	SRPRB	ATP2A3	3.27655450185691e-9	0.000563610965660762	0.999436385757785
58477	53407	Q9Y5M8	Q9P2W9	SRPRB	STX18	5.30421519955324e-14	0.151265038816773	0.848734961183174
58477	23592	Q9Y5M8	Q9Y2U8	SRPRB	LEMD3	2.90049273402772e-14	0.147170766695114	0.852829233304857
58477	375056	Q9Y5M8	Q5JRA6-2	SRPRB	MIA3	1.86903619255902e-11	0.00225313906038229	0.997746860920927
58477	5872	Q9Y5M8	P51153	SRPRB	RAB13	3.96459210532077e-10	0.0990306373874285	0.900969362216112
58477	4218	Q9Y5M8	P61006	SRPRB	RAB8A	0.0000705785051091047	0.0000370119683843186	0.999892409526507
58477	84918	Q9Y5M8	Q86VZ4	SRPRB	LRP11	5.26425503191502e-11	0.019101717906933	0.980898282040425
58477	51635	Q9Y5M8	Q9Y394-2	SRPRB	DHRS7	8.74087067093504e-9	0.00118319194550428	0.998816799313625
58477	22954	Q9Y5M8	Q13049	SRPRB	TRIM32	5.09798814097873e-13	0.011181875028142	0.988818124971348
58477	64757	Q9Y5M8	Q5VT66-2	SRPRB	MOSC1	2.57789899334302e-8	0.12438446919368	0.875615505027331
58477	1595	Q9Y5M8	Q16850-2	SRPRB	CYP51A1	8.22751261165463e-13	0.120253722258037	0.87974627774114
58477	6811	Q9Y5M8	Q13190-2	SRPRB	STX5	2.72827141949481e-9	0.121187639946332	0.878812357325396
58477	9373	Q9Y5M8	Q9Y263	SRPRB	PLAA	7.59605928216192e-16	0.0303449124588362	0.969655087541163
58477	118987	Q9Y5M8	Q8NEN9	SRPRB	PDZD8	1.32843195945533e-8	0.000103665265563062	0.999896321450117
58477	55005	Q9Y5M8	Q9NWS8	SRPRB	RMND1	8.13342671506707e-10	0.00208860054235905	0.997911398644298
58477	51109	Q9Y5M8	Q8TC12	SRPRB	RDH11	1.0617633698861e-9	0.0238606190861389	0.976139379852098
58477	5870	Q9Y5M8	P20340-2	SRPRB	RAB6A	1.42175826208094e-6	0.0011356723677145	0.998862905874023
58477	2052	Q9Y5M8	P07099	SRPRB	EPHX1	1.20002599285728e-12	0.00247357487122612	0.997526425127574
58477	51293	Q9Y5M8	Q9NPF0	SRPRB	CD320	0.000519516310568277	0.0386581857126877	0.960822297976744
58477	3156	Q9Y5M8	P04035-2	SRPRB	HMGCR	1.38540119439821e-7	0.0991281855721523	0.900871675887728
58477	5447	Q9Y5M8	P16435	SRPRB	POR	6.59107021605026e-11	0.0302383617331697	0.96976163820092
58477	91304	Q9Y5M8	Q4ZIN3-2	SRPRB	C19orf6	1.85789958111581e-11	0.0794122880756366	0.920587711905784
58477	65992	Q9Y5M8	Q96HY6-2	SRPRB	DDRGK1	2.5546898374368e-25	0.0028736477322106	0.99712635226779
58477	100134938	Q9Y5M8	B0FP48	SRPRB	UPK3BL	0.000118674819612969	0.219716051885763	0.780165273294624
58477	1176	Q9Y5M8	Q92572	SRPRB	AP3S1	0.0037447069237935	0.169296137113834	0.826959155962372
58477	133418	Q9Y5M8	Q6PCB8	SRPRB	EMB	0.0258343589687171	0.002154920845522	0.972010720185761
58477	381	Q9Y5M8	P84085	SRPRB	ARF5	3.14614412148948e-10	0.0454967769977561	0.95450322268763
58477	51128	Q9Y5M8	Q9Y6B6	SRPRB	SAR1B	7.74525608890161e-9	0.0000820885483127491	0.999917903706431
58477	9482	Q9Y5M8	Q9UNK0	SRPRB	STX8	2.67751231242555e-9	0.0242560866745889	0.975743910647899
58477	22931	Q9Y5M8	Q9NP72	SRPRB	RAB18	5.44828131335964e-7	0.145996833626499	0.854002621545369
58477	80279	Q9Y5M8	Q96JB5	SRPRB	CDK5RAP3	5.11313935279096e-8	0.00119364281225166	0.998806306056355
58477	5140	Q9Y5M8	Q13370	SRPRB	PDE3B	9.48764864317892e-12	0.0805228898158477	0.919477110174665
58477	7337	Q9Y5M8	Q05086-2	SRPRB	UBE3A	6.88424243716073e-8	0.000111444855425905	0.99988848630215
58477	2222	Q9Y5M8	P37268	SRPRB	FDFT1	7.02842777360743e-6	0.0220379014323522	0.977955070139874
58477	10459	Q9Y5M8	Q9UI95	SRPRB	MAD2L2	7.81765883526488e-6	0.05975812192871	0.940234060412455
58477	55207	Q9Y5M8	Q9NVJ2	SRPRB	ARL8B	0.000039742712359111	0.00778431128290977	0.992175946004731
58477	26001	Q9Y5M8	Q9H6Y7	SRPRB	RNF167	0.0534652091175058	0.156850487958859	0.789684302923635
58477	387263	Q9Y5M8	Q7Z4R8	SRPRB	C6orf120	9.16847660570634e-6	0.0158642664224526	0.984126565100942
58477	51337	Q9Y5M8	Q8WUY1	SRPRB	C8orf55	1.57566707264699e-10	0.0268811592927704	0.973118840549663
58477	84514	Q9Y5M8	Q8N2G8	SRPRB	GHDC	0.0000136087440244179	0.0377832445412963	0.962203146714679
58477	6610	Q9Y5M8	O60906	SRPRB	SMPD2	0.00961065203684907	0.00281140945427302	0.987577938508878
58477	404093	Q9Y5M8	Q9NWM3	SRPRB	CUEDC1	0.00446961745841793	0.179892921893574	0.815637460648008
58477	23399	Q9Y5M8	O95476	SRPRB	CTDNEP1	0.000164138060526992	0.0131822608016771	0.986653601137796
23673	8893	Q86Y82	Q13144	STX12	EIF2B5	3.34793541183071e-14	0.0022534662851047	0.997746533714862
23673	11342	Q86Y82	O43567	STX12	RNF13	2.4847260048457e-6	0.13631414996925	0.86368336530475
23673	57613	Q86Y82	A2RU67	STX12	KIAA1467	4.06061486197035e-13	0.00150782504964995	0.998492174949944
23673	10652	Q86Y82	O15498	STX12	YKT6	6.09407445002094e-7	0.000336514235585831	0.999662876356969
23673	1967	Q86Y82	Q14232	STX12	EIF2B1	1.52586496688641e-10	0.00865083092192094	0.991349168925493
23673	662	Q86Y82	Q12981-1	STX12	BNIP1	1.33287788642775e-14	0.0146815293167947	0.985318470683192
23673	8890	Q86Y82	Q9UI10-2	STX12	EIF2B4	2.03553614832876e-8	0.00865284343221488	0.991347136212424
23673	2801	Q86Y82	Q08379	STX12	GOLGA2	7.59866395615444e-11	4.51297525832248e-6	0.999995486948755
23673	28969	Q86Y82	Q9Y6E2	STX12	BZW2	1.10922678965299e-14	0.0759726711432594	0.924027328856729
23673	7586	Q86Y82	P17029	STX12	ZKSCAN1	3.0647968603677e-13	1.98033413381417e-6	0.99999801966556
23673	11311	Q86Y82	Q9NRW7	STX12	VPS45	1.96943727773579e-8	0.208968053416667	0.791031926888961
23673	63908	Q86Y82	Q9H115	STX12	NAPB	1.34637084228829e-7	2.47063792782484e-6	0.999997394724988
23673	8775	Q86Y82	P54920	STX12	NAPA	2.61415603380386e-13	7.43247774505525e-6	0.999992567521994
23673	6810	Q86Y82	Q12846	STX12	STX4	2.92361510151353e-11	0.0113116637862045	0.988688336184559
23673	55850	Q86Y82	Q9NZ43	STX12	USE1	6.16428629133585e-7	0.0000271315310721175	0.999972252040299
23673	53407	Q86Y82	Q9P2W9	STX12	STX18	1.99809618441297e-9	0.0833880890631791	0.916611908938725
23673	152579	Q86Y82	Q8WU76-2	STX12	SCFD2	1.11009633765222e-6	0.00337443309874271	0.99662445680492
23673	8602	Q86Y82	P78316-2	STX12	NOP14	4.38537665436764e-11	0.00133774702609954	0.998662252930047
23673	64689	Q86Y82	Q9BQQ3	STX12	GORASP1	1.94638472868806e-8	0.0000858523392871477	0.999914128196866
23673	8774	Q86Y82	Q99747	STX12	NAPG	1.2140863858841e-20	4.823266736843e-7	0.99999951767333
23673	6811	Q86Y82	Q13190-2	STX12	STX5	7.56309699346526e-13	0.0193684663563375	0.980631533642906
23673	134957	Q86Y82	Q5T5C0-2	STX12	STXBP5	9.7428160780288e-11	6.38464476924833e-7	0.999999361438095
23673	51594	Q86Y82	A2RRP1	STX12	NBAS	2.99284048644582e-10	0.000396450652765071	0.999603549047951
23673	8677	Q86Y82	O60499	STX12	STX10	6.0262623866147e-12	0.0000679857921363522	0.999932014201837
23673	83986	Q86Y82	Q9H0X4	STX12	ITFG3	6.10530478905707e-14	0.0920594626230268	0.907940537376912
23673	200081	Q86Y82	P40222	STX12	TXLNA	3.91364793797617e-9	0.056738549138076	0.943261446948276
23673	8773	Q86Y82	O00161-2	STX12	SNAP23	3.85763946049736e-10	0.0234135593761199	0.976586440238116
23673	64786	Q86Y82	Q8TC07-2	STX12	TBC1D15	8.62371707921635e-12	0.143563999488623	0.856436000502753
23673	116841	Q86Y82	Q5SQN1	STX12	SNAP47	1.02934409233693e-11	0.0000618709395201648	0.999938129050186
23673	158747	Q86Y82	Q8NHP6	STX12	MOSPD2	5.09912852533372e-10	0.000992509089812458	0.999007490400275
23673	29110	Q86Y82	Q9UHD2	STX12	TBK1	1.3892410072866e-10	5.65612302572635e-6	0.99999434373805
23673	79050	Q86Y82	Q9BVI4	STX12	NOC4L	7.68672176234978e-9	0.00115574093056739	0.998844251382711
23673	143187	Q86Y82	Q96AJ9-2	STX12	VTI1A	2.27643370545281e-8	1.15925251000069e-6	0.999998817983153
23673	10133	Q86Y82	Q96CV9-2	STX12	OPTN	4.88122992196863e-10	5.33502165538823e-9	0.999999994176855
23673	83440	Q86Y82	Q9BRR6-2	STX12	ADPGK	1.52515203747192e-13	0.029603330096683	0.970396669903165
23673	8891	Q86Y82	Q9NR50	STX12	EIF2B3	7.25096886905696e-11	0.00308098449834751	0.996919015429143
23673	79735	Q86Y82	Q9HA65	STX12	TBC1D17	4.62096059194353e-8	1.6040747473423e-6	0.999998349715647
23673	8674	Q86Y82	O75379-2	STX12	VAMP4	0.0000644844924904783	0.0000700651903957512	0.999865450317114
23673	9342	Q86Y82	O95721	STX12	SNAP29	4.78799964627808e-10	0.010154795279654	0.989845204241546
23673	9482	Q86Y82	Q9UNK0	STX12	STX8	3.2093882966248e-12	0.000231911659114538	0.999768088337676
23673	9570	Q86Y82	O14653-2	STX12	GOSR2	4.16492362648366e-7	0.000356007484511193	0.999643576023126
23673	6844	Q86Y82	P63027	STX12	VAMP2	2.15322735857633e-11	0.00172018475888489	0.998279815219583
23673	9341	Q86Y82	Q15836	STX12	VAMP3	6.97318704644852e-11	0.000187203605359237	0.999812796324909
23673	8892	Q86Y82	P49770	STX12	EIF2B2	2.03936451247732e-14	0.00376406122512152	0.996235938774858
23673	9527	Q86Y82	O95249	STX12	GOSR1	6.33125971161837e-15	1.30349994779987e-6	0.999998696500046
23673	8673	Q86Y82	Q9BV40	STX12	VAMP8	8.08088901128077e-8	4.76119321034713e-6	0.9999951579979
23673	90826	Q86Y82	Q6P2P2	STX12	PRMT10	0.00764671564039412	0.0437492528032476	0.948604031556358
23673	84978	Q86Y82	Q7Z6J6-2	STX12	FRMD5	2.40503511692803e-7	0.000021812742155093	0.999977946754333
23673	6845	Q86Y82	P51809-3	STX12	VAMP7	1.12551727022371e-14	0.0342922140211076	0.965707785978881
23673	51222	Q86Y82	Q9P2Y4	STX12	ZNF219	2.03172676228753e-10	0.00137492639610583	0.998625073400722
23673	53	Q86Y82	P11117	STX12	ACP2	2.06327699140964e-7	0.16808718554039	0.831912608131911
23673	165055	Q86Y82	Q96M89-2	STX12	CCDC138	0.0619372360788544	1.97182240220937e-6	0.938060792098743
9014	79101	Q53T94-2	Q9H5J8	TAF1B	TAF1D	4.2017329294897e-19	3.9760625718424e-9	0.99999999602394
9014	9015	Q53T94-2	Q15573	TAF1B	TAF1A	3.68335917075309e-11	0.00252377654574908	0.997476223417417
9014	9013	Q53T94-2	Q15572-6	TAF1B	TAF1C	5.41677538303222e-12	0.000246093418609333	0.999753906575974
6901	3329	Q16635-2	P10809	TAZ	HSPD1	6.99743267052896e-14	0.166519641596667	0.833480358403263
6901	9254	Q16635-2	Q9NY47-2	TAZ	CACNA2D2	6.64112644625651e-13	0.198880958320514	0.801119041678822
6901	79070	Q16635-2	Q6UW63	TAZ	KDELC1	2.56504319268555e-9	0.0851207594515725	0.914879237983384
6901	54972	Q16635-2	Q24JP5-2	TAZ	TMEM132A	2.72888030814241e-6	0.0278474288834019	0.97214984223629
6901	4041	Q16635-2	O75197	TAZ	LRP5	2.42097557499468e-10	0.0126307442123235	0.987369255545579
6901	4040	Q16635-2	O75581	TAZ	LRP6	1.09646763691464e-12	0.0181888449156854	0.981811155083218
6901	53353	Q16635-2	Q9NZR2	TAZ	LRP1B	2.18857640150149e-11	0.00042350733586885	0.999576492642245
6901	5066	Q16635-2	P19021	TAZ	PAM	3.98070079381362e-9	0.0414015852598134	0.958598410759486
6901	3134	Q16635-2	P30511-2	TAZ	HLA-F	2.56743430868937e-11	0.22836895791034	0.771631042063986
6901	341640	Q16635-2	Q5SZK8-2	TAZ	FREM2	3.72883632766181e-9	0.1901566209728	0.809843375298363
6901	8720	Q16635-2	Q14703	TAZ	MBTPS1	1.96486047942396e-12	0.0465613301709867	0.953438669827049
6901	3685	Q16635-2	P06756-2	TAZ	ITGAV	5.11722016648813e-11	0.219359894964762	0.780640104984066
6901	2588	Q16635-2	P34059	TAZ	GALNS	8.96527643971252e-10	0.0062470441552008	0.993752954948271
6901	102	Q16635-2	O14672	TAZ	ADAM10	8.3204271917189e-14	0.0760750499081682	0.923924950091748
6901	57544	Q16635-2	Q9P2K2	TAZ	TXNDC16	4.89270092992259e-16	0.118577369152613	0.881422630847386
6901	2195	Q16635-2	Q14517	TAZ	FAT1	4.71916757757079e-12	0.0413576505987888	0.958642349396492
6901	781	Q16635-2	P54289-2	TAZ	CACNA2D1	1.94268403836892e-8	0.0120310209875941	0.987968959585566
6901	51809	Q16635-2	Q86SF2	TAZ	GALNT7	1.76256675840108e-11	0.0924056288079969	0.907594371174377
6901	8509	Q16635-2	P52849	TAZ	NDST2	0.0000217948764371111	0.070071486215629	0.929906718907934
6901	3340	Q16635-2	P52848	TAZ	NDST1	0.000317200227052102	0.00184542424980491	0.997837375523143
6901	145173	Q16635-2	Q6Y288	TAZ	B3GALTL	0.0003405276104973	0.0985210591218724	0.90113841326763
6901	56983	Q16635-2	Q8NBL1	TAZ	POGLUT1	3.48472967643661e-11	0.00874360501548727	0.991256394949665
6901	5362	Q16635-2	O75051	TAZ	PLXNA2	0.0000226242110741883	0.00227230634225684	0.997705069446669
6901	5361	Q16635-2	Q9UIW2	TAZ	PLXNA1	1.72222456096194e-11	0.0961068990686601	0.903893100914118
6901	153642	Q16635-2	Q6UWY0	TAZ	ARSK	8.72765842206702e-10	0.00579451775315732	0.994205481374077
6901	1954	Q16635-2	Q7Z7M0	TAZ	MEGF8	4.49915419231597e-12	0.144826449915837	0.855173550079664
6901	10609	Q16635-2	Q92791	TAZ	LEPREL4	2.67106701468877e-10	0.0629763296661597	0.937023670066734
6901	79937	Q16635-2	Q9BZ76-2	TAZ	CNTNAP3	3.54643322458481e-10	0.0000827031717175722	0.999917296473639
6901	4017	Q16635-2	Q9Y4K0	TAZ	LOXL2	0.0143850348394913	0.0459641948136848	0.939650770346824
6901	64132	Q16635-2	Q9H1B5	TAZ	XYLT2	1.03707222075001e-12	0.0228798591482073	0.977120140850756
6901	121227	Q16635-2	Q6UXM1-2	TAZ	LRIG3	1.48464326375199e-11	0.0450564291319665	0.954943570853187
6901	23061	Q16635-2	Q66K14-2	TAZ	TBC1D9B	5.44584529531693e-9	0.248161723220523	0.751838271333632
6901	23505	Q16635-2	Q92545	TAZ	TMEM131	1.76294323523025e-14	0.0438425735958844	0.956157426404098
6901	135228	Q16635-2	Q6YHK3-2	TAZ	CD109	2.36860973120685e-9	0.001331198090554	0.998668799540836
6901	3679	Q16635-2	Q13683-12	TAZ	ITGA7	2.19080123785846e-9	0.00350975493256391	0.996490242876635
6901	100507436	Q16635-2	E7EP37	TAZ	MICA	6.75675007161626e-9	0.0102455556555552	0.989754437587695
6901	374378	Q16635-2	Q6P9A2	TAZ	GALNTL4	1.85779267780129e-10	0.00034778578437742	0.999652214029843
6901	26002	Q16635-2	Q6UVY6	TAZ	MOXD1	1.64210332081065e-7	0.129165644301254	0.870834191488414
6901	4669	Q16635-2	P54802	TAZ	NAGLU	4.18773183960906e-13	0.00490725216266235	0.995092747836919
6901	2990	Q16635-2	P08236-2	TAZ	GUSB	2.67042218381897e-12	0.173558735475133	0.826441264522196
6901	80144	Q16635-2	E9PHH6	TAZ	FRAS1	3.93707883753103e-14	0.00162828121655023	0.99837171878341
6901	22795	Q16635-2	Q14112-2	TAZ	NID2	1.59686507053767e-6	0.00373284813240068	0.996265555002529
6901	4126	Q16635-2	O00462	TAZ	MANBA	1.41906853968197e-9	0.0139343021441211	0.98606569643681
6901	8516	Q16635-2	P53708	TAZ	ITGA8	1.07801654350599e-11	0.000578983305480485	0.999421016683739
6901	221806	Q16635-2	Q8N2E2	TAZ	VWDE	9.16650771081442e-9	9.73081800699689e-6	0.999990260015485
6901	4241	Q16635-2	P08582-2	TAZ	MFI2	0.036894807224785	0.0000142668854008824	0.963090925889814
6901	23295	Q16635-2	O60291-2	TAZ	MGRN1	2.70723259709738e-14	0.110680829895152	0.889319170104821
6901	387921	Q16635-2	Q5JS37	TAZ	NHLRC3	0.0000847001791916455	0.17589964604	0.824015653780809
6901	4668	Q16635-2	P17050	TAZ	NAGA	9.10809898042453e-11	0.157784276503167	0.842215723405752
6901	170384	Q16635-2	Q495W5-2	TAZ	FUT11	9.92049500222464e-8	0.000289063520972052	0.999710837274078
6901	157567	Q16635-2	Q86W74-2	TAZ	ANKRD46	0.0000141993130305802	0.0112449283017258	0.988740872385244
6901	84059	Q16635-2	Q8WXG9-3	TAZ	GPR98	1.13237074017995e-11	0.06273075346611	0.937269246522566
6901	64788	Q16635-2	Q96S06	TAZ	LMF1	1.7936558517168e-7	0.124047275835612	0.875952544798803
6901	51148	Q16635-2	Q5T4B2-2	TAZ	CERCAM	1.94316269454092e-16	0.0286214632640618	0.971378536735938
6901	145864	Q16635-2	Q96S86	TAZ	HAPLN3	0.000115717424860626	0.000891470743042069	0.998992811832097
6901	80781	Q16635-2	P39060-1	TAZ	COL18A1	2.30151502933268e-12	0.00275311477523947	0.997246885222459
6901	120071	Q16635-2	Q8N3Y3	TAZ	GYLTL1B	8.16278283207841e-8	0.00288580478916038	0.997114113583011
6901	1292	Q16635-2	P12110	TAZ	COL6A2	3.59359525703749e-10	0.210809297751623	0.789190701889018
6901	2719	Q16635-2	P51654	TAZ	GPC3	0.121191081887637	0.0171811050768255	0.861627813035537
6901	79770	Q16635-2	Q96J42-2	TAZ	TXNDC15	1.16282716278743e-10	0.0023817663887414	0.997618233494976
6901	84572	Q16635-2	Q9UJJ9	TAZ	GNPTG	1.24483340984329e-11	0.0747333930162409	0.925266606971311
6901	686	Q16635-2	P43251	TAZ	BTD	1.10778688988661e-10	0.161086953808	0.838913046081221
6901	8828	Q16635-2	O60462-2	TAZ	NRP2	0.0915655143251759	0.0397290342694251	0.868705451405399
6901	57190	Q16635-2	Q9NZV5-2	TAZ	SEPN1	6.2748870302342e-8	0.121581983699587	0.878417953551543
